SMILES,butina_clusters,split,test_subset
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)(O)OCC[N+](C)(C)C,8305,test,False
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)[O-],10922,val,False
COc1cc2c(cc1OC)-c1c(C)c3ccc(OC)c(OC)c3c[n+]1CC2,5504,val,False
CN1C2=CC(=O)/C(=N\NC(N)=O)C=C2CC1S(=O)(=O)[O-],11720,val,False
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,4376,train,False
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,961,test,False
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C,8305,test,False
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O,3461,val,False
COc1ccc(C(=O)N(CCN2CCOCC2)CC(=O)NC2CCCC2)cc1OC,4,train,False
Cn1c(SCC(=O)Nc2cccc(NC(=O)c3cccs3)c2)nnc1-c1ccncc1,13,train,False
C[N+]12CCC(CC1)C(=C(c1ccccc1)c1ccccc1)C2,10754,train,False
CCn1c(C)c2c([n+]1CC)CC(C)(C)CC2=O,9203,test,False
CC(=O)Nc1c(C(=O)O)oc2ccc(Cl)cc12,2866,test,False
O=CN(Cc1ccco1)C1(C(=O)NC2CCCCC2)CCCCC1,141,train,False
COc1cccc(-n2nnnc2SCC(=O)NCc2ccco2)c1,13,train,False
COc1ccc(C)cc1Nc1n[n+](C)c(-c2ccc(O)cc2O)s1,3048,val,False
Cc1ccc(NC(=O)N(Cc2cc3cc(C)cc(C)c3[nH]c2=O)CC2COCCO2)cc1,299,train,False
CCCC1=[N+](CC(=O)c2ccc(C)cc2)CCn2cccc21,2313,val,False
O=C(Nc1ccccc1-c1ccccc1)NC1CCN(CC(=O)N2CCOCC2)CC1,4,train,False
CCNC(=O)N1C(=O)C2(OCCO2)c2ccccc21,2271,val,False
CC(C)C(c1nnnn1Cc1ccc(F)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,426,train,False
CCCn1c(SCC(=O)Nc2c(C)cccc2CC)nnc1C(C)C,44,train,False
CCSC1=C(C#N)C(c2ccc(OC)c(OC)c2)CC(=O)N1,1035,train,False
C[n+]1ccn(CC(=O)c2cccs2)c1,410,train,False
O=C(NCc1ccco1)c1cc2nc(-c3ccc4c(c3)OCO4)cc(C(F)(F)F)n2n1,389,train,False
O=C(Nc1cccc(F)c1)C1CCN(c2nnnn2-c2ccccc2)CC1,122,train,False
NC(=O)c1ccc[n+](CC(=O)NCc2ccc(Cl)cc2)c1,97,train,False
CC[n+]1c(C)sc2c3ccsc3ccc21,10512,train,False
COC(=O)c1cccc(NC(=O)Cn2nnc3ccccc32)c1,28,train,False
Cc1cccnc1NC(=O)CCCN1C(=O)c2ccccc2C1=O,107,train,False
CCOC(=O)CSc1cc(C)nc(NC(C)=O)n1,460,train,False
Cc1cc(C)cc(NC(=O)C2CCN(c3nccs3)CC2)c1,15,train,False
CN(C(=O)C1CCCO1)c1nnc(-c2ccccn2)s1,2197,train,False
NC(=O)CSc1nnc(C2CC2)n1Cc1ccccc1,143,train,False
COc1ccc(CCNC(=O)CSc2cc(=O)[nH]c(N)n2)cc1OC,2,train,False
CC(=O)N1CSCC1C(=O)O,7082,train,False
O=C(CSc1nnc(-c2ccc(O)cc2)o1)N1CCOCC1,16,train,False
O=C(C[n+]1ccccc1)N/N=C/c1ccccc1C(F)(F)F,104,train,False
CCc1c(C)nc2ncnn2c1N1CCC(C(=O)NCc2ccc3c(c2)OCO3)CC1,5,train,False
O=C(O)Cn1cc(C(=O)c2ccco2)c2ccccc21,8,train,False
O=C1NC(=S)S/C1=C1\Sc2ccccc2N1CCCS(=O)(=O)O,9409,test,False
N=c1c(S(=O)(=O)c2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1,203,train,False
CCOC(=O)CSc1ncnc2c1cnn2-c1ccccc1,134,train,False
CC(=O)C1=C(O)C(=O)N(Cc2ccco2)C1c1ccc(F)cc1,550,train,False
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,3169,train,False
COc1ccc(CN(CC(=O)NCC2CCCO2)C(=O)CCC(=O)Nc2cc(C)on2)cc1,20,train,False
Cc1nn(-c2ccccc2)c2[nH]c(=O)c(CNc3ccc4c(c3)OCCO4)cc12,1914,train,False
CS(=O)(=O)N(Cc1ccc(F)cc1)Cc1nc2ccccc2c(=O)[nH]1,383,train,False
CCOC(=O)c1cnc(SCC(=O)c2ccc3c(c2)OCCO3)nc1N,32,train,False
c1cncc(-c2nnc(-c3cccnc3)nn2)c1,1016,train,False
CCOC(=O)c1snc(-c2ccc(F)cc2)c1N,379,train,False
CC[C@@H](C)C(NC(=O)OC(C)(C)C)c1cn([C@@H](CCC(=O)OC(C)(C)C)C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)nn1,3646,test,False
CC(=O)c1ccc(NC(=O)C[n+]2ccc(N(C)C)cc2)cc1,117,train,False
CCC(=O)Nc1cccc(NC(=O)CSc2nnnn2C)c1,9,train,False
CC(C)(C)OC(=O)N1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3cccs3)C2C1,5400,train,False
C=C(c1ccc(Cl)cc1)[n+]1ccccc1,7376,test,False
O=C(Cn1c(CN2CCCCC2)nc2ccccc2c1=O)NCc1ccco1,13,train,False
COC(=O)c1ccc(-n2nnnc2SCC(=O)Nc2ccccc2OC)cc1,4,train,False
CSCCC(NC(=O)c1cc(C(C)(C)C)oc1C)C(=O)O,1137,train,False
O=C(Nc1ccccc1)N(Cc1ccc2c(c1)OCO2)Cc1nc2ccccc2c(=O)[nH]1,389,train,False
CC(C)(C)C(=O)OC[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)C1CCCC1,6526,train,False
CN(c1ccc(O)cc1)c1nc(-c2ccccc2)cs1,474,train,False
CCCn1c(SCC(=O)NCCc2ccccc2)nnc1-c1cccnc1,13,train,False
CCC(=NCc1ccccc1)C1=C(O)C(C(=O)OC)C(C)(C)CC1=O,3157,train,False
Cc1[nH]c2ccc(-c3nnc(SCC(=O)c4ccc(F)cc4)o3)cc2c1C,16,train,False
Cc1ccc2[nH]c(C(=O)O)c(-c3ccccc3)c2c1,893,train,False
COc1ccc2c(ccc[n+]2CC(=O)c2ccc(C)cc2)c1,207,train,False
O=C(NC1CCCCC1)NC1CC2CCC(C1)N2C(=O)NC1CCCCC1,1471,train,False
CCOC(=O)c1ccc2c(c1)n(CC)c(/C=C/Nc1ccccc1)[n+]2CC,28,train,False
CC1CCCN(C(=O)Cn2nnc(-c3cccnc3)n2)C1,144,train,False
CCCCCCn1c(SCCC)nc2c1c(=O)[nH]c(=O)n2C,134,train,False
Cc1cc(C)c2c(N)c(S(=O)(=O)Cc3ccccc3)sc2n1,928,train,False
COc1cc(OC)cc(-c2nnc(SCC(=O)N3CCCC3)o2)c1,16,train,False
CC[n+]1c(/C=C2/C=C(C)CC(C)C2)sc2ccccc21,8315,test,False
CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(N)=O,252,train,False
CC(=O)OC(C[N+]1(C)CCCCCC1)c1ccccc1,4275,train,False
O=C(C[n+]1cc(-c2ccccc2)n2c1CCCCC2)c1ccc(Cl)cc1,2778,val,False
Cc1ccc(S(=O)(=O)N2CCCC(C(=O)NCc3cccnc3)C2)cc1Cl,7,train,False
Cc1ccc(OCc2nnc(SCC(=O)N3CCOCC3)n2C)cc1,84,train,False
COc1ccc(CNC(=O)CSc2nnnn2Cc2ccccc2)cc1,0,train,False
CCOc1cccc(/C(O)=C2/C(=O)C(=O)N(CCOC)C2c2ccc(C)o2)c1,448,train,False
CC#CC[N+](C)(C)CCCCCCCCCC,7388,train,False
CC(=O)OC(C(=O)NCc1ccc2c(c1)OCO2)c1ccccc1Cl,5,train,False
CCN(CC)CCNC(CC(=O)Nc1ccc(Cl)cc1Cl)C(=O)O,198,train,False
O=C(O)c1cc2c([nH]c1=O)CCCC2,8998,train,False
Cc1nn(-c2ccccc2)c2[nH]c(=O)c(CNCC3CCCO3)cc12,2158,train,False
CCOC(=O)c1cccc(S(=O)(=O)N(CCO)Cc2cc3cc(OC)ccc3[nH]c2=O)c1,299,train,False
COCCNC(=O)CN(C(=O)Cn1nnc2ccccc21)c1ccccc1,248,train,False
Cc1cc(C)cc(-c2nnc(SCC(=O)NCc3cccs3)o2)c1,16,train,False
COC(=O)c1ccccc1NC(=O)CSc1nnc(COc2cccc(OC)c2)n1C,16,train,False
